,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
0,1800petmeds,2018-07-17,1771,121,Retail,41,f,30,159898,16831,
1,1st source bank,2018-07-17,3523,921,Banking,191,f,0,5316,1048,
2,21 club,2017-11-07,610,167,Restaurants,9831,f,9831,6994,2279,
3,3m,2018-07-17,852348,58944,Mechanical or Industrial Engineering,3416,f,0,4497193,39516,
4,aar corp.,2017-11-12,17350,3712,Airlines/Aviation,174,f,174,1742,346,AIR
5,"aaron brothers, inc.",2018-07-17,1327,466,Retail,0,f,663,19112,1273,TOL
6,"aaron's, inc",2018-07-17,11718,5098,Retail,4,f,34977,974247,64655,AAON
7,abb,2018-07-17,1154903,95566,Electrical/Electronic Manufacturing,1075,f,0,577590,57027,
8,abbott,2018-07-17,1122343,69863,Hospital &amp; Health Care,0,f,0,201441,100805,
9,about.com,2018-02-17,7624,443,Internet,224,f,0,235102,56076,
10,"abx air, inc.",2018-07-17,3334,932,Airlines/Aviation,0,f,0,163,40,VXRT
11,accelerate diagnostics,2018-07-17,2877,226,Medical Devices,0,f,0,1154,25906,AXDX
12,accenture,2018-07-17,3409892,380166,Information Technology and Services,0,f,0,569906,24114,ACN
13,accuray,2018-07-17,18617,1007,Medical Devices,0,f,110,1152447,152890,
14,aci worldwide,2018-07-17,32487,4823,Computer Software,0,f,0,2496,281,ACIW
15,activision,2018-07-17,114991,2455,Computer Games,0,f,0,885788,55279,
16,acuity brands,2018-07-17,22148,2597,Electrical/Electronic Manufacturing,0,f,0,4672,1162,AYI
17,addus homecare,2018-07-17,7338,2157,Hospital &amp; Health Care,465,f,0,3085,178,
18,adobe,2018-07-17,1035333,18911,Computer Software,0,f,0,1193455,18731,
19,adt,2018-07-17,51558,17145,Security and Investigations,0,f,0,583453,46073,
20,adtalem global education,2018-07-17,30836,705,Education Management,95,f,95,466,20,ATGE
21,advance auto parts,2018-07-17,44236,13215,Retail,4166,f,442031,1782296,178859,AAP
22,aegon,2018-07-17,42594,40907,Financial Services,1096,f,0,11064,2281,AEH
23,aemetis,2018-07-17,291,20,Renewables &amp; Environment,5,f,5,106,34,
24,aerohive networks,2018-07-17,18669,618,Wireless,411,f,411,3712,180,HIVE
25,aerojet rocketdyne,2018-07-17,26959,4011,Defense &amp; Space,0,f,0,14575,6988,
26,aerovironment,2018-07-17,19348,723,Electrical/Electronic Manufacturing,0,f,0,4830,623,AVAV
27,"aethlon medical, inc.",2018-07-17,935,19,Medical Devices,2,f,2,4012,116,AEMD
28,aetna,2018-07-17,181795,33560,Insurance,0,f,0,95891,38230,
29,affymetrix,2018-07-17,16307,886,Biotechnology,446,f,0,23423,488,
30,agenus,2018-07-17,5493,271,Biotechnology,11,f,11,129,10,
31,agoda,2018-02-17,67343,2672,Internet,0,f,0,3050285,226953,
32,aimco apartment homes,2018-07-17,14998,1779,Real Estate,253,f,0,1643,168,
33,air products,2018-07-17,93321,11064,Chemicals,14,f,14,10950,15878,
34,akamai technologies,2018-07-17,112633,6826,Internet,0,f,0,331822,123105,AKAM
35,alarm.com,2018-07-17,8689,702,Information Technology and Services,0,f,0,108332,1522,
36,alaska airlines,2018-07-17,70394,9284,Airlines/Aviation,14110,f,1238188,1039334,139198,
37,alcon,2018-07-17,214086,21138,Medical Devices,0,f,0,45442,2057,
38,"allegion, plc",2018-07-17,28281,3959,Security and Investigations,207,f,190,7158,53602,ALLE
39,allergan,2018-07-17,319793,23049,Pharmaceuticals,292,f,292,237088,16753,AGN
40,allete,2018-07-17,1879,321,Utilities,12,f,0,355,50,
41,alliance data,2018-07-17,25873,15189,Marketing and Advertising,209,f,209,5678,30980,
42,alliance healthcare services,2018-07-17,7296,1257,Hospital & Health Care,661,f,661,211,125,AMN
43,alliant energy,2018-07-17,14306,2449,Utilities,1006,f,0,15924,34001,
44,allison transmission,2018-07-17,14155,1906,Automotive,0,f,0,129395,36080,
45,"allmand bros., inc.",2018-07-17,650,106,Machinery,123,f,0,779,190,
46,allmodern.com,2018-03-23,76,2,Furniture,0,f,0,752887,30409,
47,allscripts,2018-07-17,77909,9204,Computer Software,88,f,73,5736,624,
48,allstate,2018-07-17,169767,60038,Insurance,920,f,219860,812954,50099,
49,ally,2018-07-17,53543,8760,Financial Services,0,f,0,341716,70175,
50,alpha advanced materials,2018-07-17,87,26,Electrical/Electronic Manufacturing,1,f,1,18,4,
51,alpha assembly solutions,2018-07-17,2590,674,Electrical/Electronic Manufacturing,28,f,28,193,36,
52,alphatec spine,2018-07-17,11344,340,Medical Devices,366,f,366,145,5,
53,alteryx,2018-07-17,44866,748,Information Technology and Services,0,f,0,4166,422,
54,amazon,2018-07-17,5188572,261440,Internet,1734,f,0,29039696,567728,
55,ambarella inc,2018-07-17,6341,465,Semiconductors,0,f,0,514,170,AMBA
56,ambient corporation,2018-02-17,542,55,Utilities,0,f,0,1960,208,NAVI
57,amc networks,2018-07-17,46921,2034,Entertainment,372,f,372,6971,295,AMCX
58,amc theatres,2018-07-17,21117,4781,Entertainment,0,f,28534778,6335959,597077,
59,amd,2018-07-17,214506,14299,Semiconductors,1580,f,0,2708240,272634,
60,amdocs,2018-07-17,240927,28658,Telecommunications,0,f,0,22849,4532,
61,ameresco,2018-07-17,11492,933,Renewables &amp; Environment,7,f,7,580,10,UHAL
62,american addiction centers,2018-07-17,5937,728,"Health, Wellness and Fitness",442,f,442,21550,921,
63,american airlines,2018-07-17,352532,53055,Airlines/Aviation,67350,f,67350,2411853,95124,
64,american electric power,2018-07-17,44150,8705,Utilities,1720,f,0,16875,3578,AEP^B
65,american express,2018-07-17,703836,64955,Financial Services,8,f,0,7710273,365329,AXP
66,american healthtech,2018-07-17,1044,147,Information Technology and Services,53,f,0,454,206,
67,american intercontinental university,2018-07-17,71773,1076,Higher Education,1773,f,1773,107899,5579,
68,american river bank,2018-07-17,658,90,Banking,77,f,0,1334,864,AMRB
69,american savings bank,2018-07-17,4773,996,Banking,1182,f,0,3609,4075,
70,american water,2018-07-17,13395,2630,Utilities,0,f,0,2324,251,AWK
71,amerigas,2018-07-17,8249,2621,Oil &amp; Energy,0,f,1077,24016,964,
72,amerisourcebergen,2018-07-17,46809,13496,Pharmaceuticals,0,f,0,3947,504,
73,"amkor technology, inc.",2018-07-17,19752,5255,Semiconductors,618,f,618,7204,4795,AMKR
74,amsc,2018-07-17,3684,393,Renewables &amp; Environment,0,f,0,3073521,115351,
75,amv bbdo,2018-07-17,15394,558,Marketing and Advertising,1541,f,1541,13510,32,
76,analog devices,2018-07-17,81307,10123,Semiconductors,929,f,0,119624,65946,ADI
77,angie's list,2018-07-17,12983,1480,Internet,3535,f,3535,245897,7561,
78,anixter,2018-07-17,64513,5717,Wholesale,365,f,365,6271,1601,
79,ann taylor,2018-02-17,8686,1667,Retail,0,f,12550,1195767,43909,
80,"ansys, inc.",2018-07-17,58027,3383,Computer Software,414,f,0,102456,8558,ANSS
81,anthem,2018-03-09,42657,11891,Insurance,0,f,19,809572,21565,
82,anthem worldwide,2018-07-17,4127,207,Design,34,f,0,1016,24,
83,aol,2018-07-17,152416,12933,Internet,7593,f,0,1906721,1636915,
84,aon benfield,2018-07-17,23109,2992,Insurance,61,f,61,1231,140,
85,apache energy,2018-02-17,4375,101,Oil & Energy,10,f,10,252,188,
86,"apogee enterprises, inc.",2018-07-17,2034,146,Building Materials,12,f,12,399,157,APOG
87,appfolio inc.,2017-07-31,5842,559,Computer Software,348,f,348,26324,1143,APPF
88,applebee's,2017-03-16,41300,3369,Restaurants,1,f,26751270,6223079,238438,
89,"appliancesmart, inc.",2018-07-17,57,1,Retail,0,f,2,2059,33,PSMT
90,applied materials,2018-07-17,136278,17425,Semiconductors,2413,f,2413,7935,1147,AMAT
91,"applied optoelectronics, inc.",2018-07-17,1966,224,Telecommunications,148,f,148,310,169,AAOI
92,aptiv,2018-07-17,28599,7042,Electrical/Electronic Manufacturing,15971,f,0,129144,8461,
93,aqua america,2018-07-17,5646,844,Utilities,0,f,0,22523,939,WTRU
94,aramark,2018-07-17,151661,33167,Retail,2307,f,0,59255,15710,ARMK
95,aramark uniform services,2018-07-17,16604,4350,Facilities Services,54,f,0,10616,1019,
96,arbor realty trust,2018-07-17,6569,417,Commercial Real Estate,0,f,0,47,4,ABR^C
97,arc document solutions,2018-07-17,6228,1454,Information Technology and Services,31,f,0,5462,72,ARC
98,"arc group worldwide, inc.",2018-07-17,1309,64,Mechanical or Industrial Engineering,0,f,0,27910,6251,ACIW
99,arcelormittal,2018-07-17,258284,30363,Mining &amp; Metals,40,f,51,4689,4324,MT
100,architect digital agency,2018-02-17,1300,13,Marketing and Advertising,24,f,24,2452,11,
101,arconic,2018-07-17,25183,5354,Mechanical or Industrial Engineering,0,f,0,24540,12784,
102,arista networks,2018-07-17,86909,2019,Computer Networking,1826,f,1826,23218,3989,ANET
103,ark restaurants,2018-07-17,1915,224,Food &amp; Beverages,83,f,83,235,19,ARKR
104,ashland inc,2016-09-25,44904,5361,Chemicals,283,f,282,3897,3000,
105,asml,2018-07-17,106927,16216,Semiconductors,970,f,0,54336,5152,
106,aspen aerogels,2018-07-17,2109,182,Oil &amp; Energy,43,f,43,794,94,ASPN
107,associated bank,2018-07-17,14753,4477,Financial Services,292,f,292,35494,6733,ASB^E
108,astrazeneca,2018-07-17,717760,57200,Pharmaceuticals,468,f,468,27449,527,AZN
109,astronics aes,2018-07-17,2637,433,Aviation &amp; Aerospace,0,f,0,105,91,
110,at&t,2018-07-17,813682,230061,Telecommunications,0,f,434975,6837915,190623,
111,athenahealth,2018-07-17,49567,5285,Information Technology and Services,3000,f,3000,23427,2627,
112,athersys,2018-07-17,1226,76,Biotechnology,9,f,9,488,159,
113,athleta,2018-02-17,29127,1781,Apparel & Fashion,6,f,63497,513968,30570,
114,atlantic capital bank,2018-07-17,1359,611,Banking,142,f,0,2038,222,
115,atlantic stewardship bank,2018-07-17,464,107,Banking,2,f,2,1077,122,
116,atlantis casino resort spa,2018-07-17,3544,492,Gambling &amp; Casinos,225883,f,225883,34650,8439,
117,atlassian,2018-07-17,113579,2892,Computer Software,4044,f,4044,182310,72306,
118,atmos energy,2018-07-17,10268,2507,Utilities,411,f,0,11388,2285,
119,atmosphere proximity,2018-07-17,2299,45,Marketing and Advertising,75,f,75,733,2,
120,atrion corp,2018-02-17,27,12,Medical Devices,13,f,13,418,155,AEGN
121,attunity,2018-07-17,4702,635,Information Technology and Services,14,f,14,766,2219,
122,audiocodes,2018-07-17,8325,1054,Telecommunications,0,f,0,2506,807,AUDC
123,authorize.net,2018-02-17,1346,32,Internet,0,f,0,11829,334,
124,autoanything,2018-02-17,4072,165,Automotive,557,f,0,206659,7959,
125,autodesk,2018-07-17,257737,9890,Computer Software,0,f,0,1258741,52480,
126,autonation,2018-07-17,32570,8473,Automotive,1518,f,588976,69356,6507,AN
127,autozone,2018-07-17,66751,15661,Retail,11035,f,468494,1153407,35706,
128,"av homes, inc.",2018-07-17,1088,203,Construction,0,f,0,10950,2559,LGIH
129,avianca,2018-07-17,195145,7961,Airlines/Aviation,0,f,0,2044135,14863,
130,avid,2018-07-17,60389,1665,Computer Software,0,f,0,186134,4578,
131,avnet,2018-07-17,56393,11683,Information Technology and Services,178,f,178,1667,182,
132,avon,2018-07-17,475490,70320,Cosmetics,0,f,0,20335211,194756,
133,bachoco,2018-07-17,23029,2181,Food Production,542,f,542,201296,72380,
134,badger meter,2018-07-17,4348,606,Utilities,161,f,0,1516,270,BMI
135,bahama breeze,2018-07-17,1341,864,Restaurants,0,f,3092606,326449,41044,
136,bamko,2018-07-17,4804,210,Marketing and Advertising,7,f,0,698,250,
137,banc of california,2018-07-17,6070,1151,Banking,192,f,638,9474,2577,BANC^E
138,banco de occidente,2018-07-17,24750,4161,Banking,1448,f,1516,266022,2656,
139,banco galicia,2018-07-17,98378,5104,Financial Services,2925,f,0,1238973,72978,
140,banco macro,2018-07-17,56019,3272,Banking,0,f,0,454637,19058,
141,banco santander mexico,2018-07-17,31540,3753,Banking,0,f,0,171587,43079,BSAC
142,bancolombia,2018-07-17,90016,8213,Banking,0,f,0,791914,350224,CIB
143,bank of albuquerque,2018-07-17,826,187,Banking,14,f,8,1747,127,
144,bank of arkansas,2018-07-17,216,38,Banking,3,f,0,970,54,
145,bank of hawaii,2018-07-17,8025,1708,Banking,1714,f,3466,27448,3572,
146,bank of kansas city,2018-07-17,721,118,Financial Services,0,f,0,2257,95,
147,bank of marin,2018-07-17,2455,274,Banking,1,f,1,1382,172,BMRC
148,bank of oklahoma,2018-07-17,7308,1900,Banking,75,f,52,8827,1114,
149,bank of texas,2018-07-17,4738,924,Banking,1,f,1,3946,384,BMO
150,bank of the sierra,2018-07-17,981,260,Banking,271,f,0,926,710,
151,bankers life,2018-07-17,44833,7031,Insurance,308,f,1225,14582,849,
152,bankfinancial,2018-07-17,875,203,Banking,13,f,0,894,7,
153,bankunited,2018-07-17,8077,1710,Banking,88,f,0,8801,438,BKU
154,bankwell,2018-07-17,712,124,Banking,25,f,38,584,625,
155,banner bank,2018-07-17,6042,2985,Banking,127,f,353,31982,1256,
156,barrick gold corporation,2018-07-17,273881,9584,Mining &amp; Metals,0,f,0,177513,20010,GOLD
157,basi,2018-07-17,2172,235,Pharmaceuticals,78,f,78,436,296,
158,bazaarvoice,2018-07-17,28563,1060,Internet,1198,f,1198,10203,629,
159,bbdo belgium,2018-07-17,9107,416,Marketing and Advertising,809,f,809,4020,615,
160,bbdo group germany,2018-07-17,1932,151,Marketing and Advertising,845,f,845,6597,162,
161,bbdo ukraine,2018-07-17,408,34,Marketing and Advertising,940,f,940,8860,1309,
162,bbdo warszawa,2018-07-17,63,24,Marketing and Advertising,146,f,146,2853,49,
163,bbdo worldwide,2018-07-17,198386,3232,Marketing and Advertising,3900,f,3900,98730,481,
164,bbva compass,2018-07-17,39650,12952,Banking,0,f,27920,130336,4082,
165,bcb community bank,2018-07-17,917,457,Banking,174,f,43,1380,149,
166,beasley media group,2018-07-17,5968,985,Broadcast Media,32,f,32,492,36,
167,beazer homes,2018-07-17,13678,1456,Real Estate,0,f,0,152272,15139,
168,bed bath &amp; beyond,2017-02-01,52185,12011,Retail,1305,f,392106,2725875,163817,BBBY
169,belmont savings bank,2018-07-17,1020,126,Banking,69,f,69,2879,623,
170,"bemis company, inc.",2018-07-17,30599,5524,Packaging and Containers,57,f,57,1112,141,TREX
171,beneficial bank,2018-07-17,3386,808,Banking,491,f,1849,3306,379,
172,best buy,2018-07-17,273470,60633,Retail,62249,f,1152134,8589343,259912,
173,big 5 sporting goods,2018-07-17,7642,2262,Retail,1758,f,9490,665063,5871,BGFV
174,big fish games,2018-07-17,13253,837,Computer Games,0,f,0,444966,4291,
175,bio-techne,2018-07-17,4778,1753,Biotechnology,51,f,51,189,4,TECH
176,"biolife solutions, inc.",2018-07-17,1502,79,Biotechnology,9,f,9,63,31,BLFS
177,biomet,2018-02-17,47977,3156,Medical Devices,0,f,0,1739,741,
178,"biotelemetry, inc.",2018-07-17,1714,778,Biotechnology,48,f,48,130,17,BEAT
179,bizbuysell,2018-07-17,2609,19,Internet,0,f,0,7378,636,
180,bizquest,2018-07-17,417,6,Internet,0,f,0,1654,8,
181,"bj's restaurants, inc.",2018-07-17,19539,4145,Restaurants,0,f,6761546,829121,88698,BJRI
182,black box,2018-07-17,22040,2850,Telecommunications,81,f,81,2512,706,
183,blackbaud,2018-07-17,34223,3270,Computer Software,1166,f,0,36794,1646,
184,blackberry,2018-07-17,267084,6023,Telecommunications,0,f,0,30504015,50538,
185,blackline,2018-07-17,21201,857,Computer Software,244,f,244,2009,331,
186,blackrock,2018-07-17,411872,17773,Financial Services,0,f,0,22865,1024,
187,bloomingdale's,2018-03-09,90907,7270,Retail,80676,f,449797,614206,31233,
188,blue apron,2018-07-17,31220,1586,Food & Beverages,2508,f,0,1998304,54070,
189,bluegreen vacations,2018-07-17,13581,2901,Hospitality,760,f,0,55256,2322,BXG
190,bluemercury,2018-02-17,9595,398,Retail,86,f,28,120417,8027,
191,bmo harris bank,2018-07-17,40113,11145,Banking,1236,f,13196,95074,6046,
192,bny mellon,2018-07-17,191403,40248,Financial Services,1245,f,1245,9659,1775,
193,boeing,2018-07-17,1005671,119759,Aviation &amp; Aerospace,0,f,0,32614,329,
194,bofi federal bank,2018-07-17,4088,628,Banking,96,f,96,2191,245,
195,boise cascade company,2018-07-17,15309,2441,Building Materials,39,f,30,1169,540,
196,boot barn,2018-07-17,6073,933,Retail,0,f,0,2346012,60535,
197,borderfree,2018-02-17,5155,80,Internet,35,f,0,7656,403,
198,borgata hotel casino & spa,2018-02-17,5999,1513,Hospitality,533710,f,533710,238604,14172,
199,borgwarner inc.,2018-07-17,95899,8131,Automotive,0,f,0,55306,9398,BWA
200,boston scientific,2018-07-17,285683,28594,Medical Devices,672,f,672,31805,3221,
201,box,2018-07-17,90902,3410,Internet,2666,f,2666,82429,5947,
202,boyd gaming,2018-02-17,12487,2159,Gambling & Casinos,15185,f,132886,9867,1777,
203,bradesco,2018-07-17,275174,39391,Banking,0,f,0,5228767,289958,
204,brandimage,2018-07-17,3351,170,Design,0,f,0,955,50,
205,brandywine realty trust,2018-07-17,5651,424,Real Estate,51,f,51,4296,361,BDN
206,breaker technology,2018-07-17,780,61,Machinery,21,f,21,1527,1426,
207,"bridgepoint medical, inc.",2018-03-23,780,4,Medical Devices,1508,f,1508,899,156,BLIN          
208,bridgford foods,2018-07-17,639,149,Food Production,103,f,0,31341,33681,
209,bright horizons uk,2018-07-17,3457,375,Education Management,487,f,30569,54679,3630,
210,brightcove,2018-07-17,12258,608,Online Media,625,f,607,21770,738,BCOV
211,bristow group,2018-07-17,21116,1218,Airlines/Aviation,0,f,0,7788,3612,
212,broadvision,2018-07-17,1620,219,Computer Software,0,f,0,338,15,BVSN
213,brookline bank,2018-07-17,3144,344,Banking,0,f,146,1585,365,
214,brooks automation,2018-07-17,8728,1313,Semiconductors,64,f,64,152,72,BRKS
215,bt,2018-07-17,295044,68456,Telecommunications,0,f,0,7462076,1726143,
216,bunge,2018-07-17,205429,13550,Food Production,0,f,0,14615,5478,
217,"burlington stores, inc.",2018-07-17,39638,10146,Retail,1,f,597,1286541,20160,BURL
218,bushnell,2018-02-17,3014,191,Consumer Goods,355,f,0,430591,38789,
219,by kilian,2018-03-13,5173,95,Luxury Goods & Jewelry,84,f,84,58256,3041,
220,c.h. robinson,2018-07-17,116330,20051,Logistics and Supply Chain,1773,f,0,16569,6165,
221,cable one,2018-07-17,15545,10285,Telecommunications,0,f,0,77326,7770,
222,caesars entertainment corporation,2018-07-17,69476,10517,Gambling &amp; Casinos,635,f,635,43986,2127,CZR
223,cafepress inc.,2018-07-17,4743,579,Internet,0,f,0,640266,34182,CAL
224,"caleres, inc.",2018-07-17,23298,2257,Apparel &amp; Fashion,2736,f,0,2924,312,CAL
225,calithera biosciences,2018-07-17,808,83,Pharmaceuticals,12,f,1,3612,1897,CALA
226,callaway golf,2018-07-17,48173,1783,Sporting Goods,3139,f,3139,715905,150639,ELY
227,calvin klein,2018-03-09,189419,4685,Apparel & Fashion,0,f,26364,12496177,184354,
228,cambrex,2018-07-17,4652,774,Pharmaceuticals,9,f,9,70,2,
229,camden national bank,2018-07-17,1876,479,Banking,141,f,0,10345,1010,CAC
230,canada goose,2018-07-17,27809,845,Apparel & Fashion,0,f,1356,472683,30670,
231,"cancer genetics, inc.",2018-07-17,6968,181,Pharmaceuticals,0,f,0,1581,121,CGIX
232,canterbury park,2018-07-17,1272,343,Entertainment,158945,f,158945,42615,27379,
233,capella university,2018-07-17,99182,3153,Higher Education,3498,f,3498,134638,18199,
234,capital one,2018-07-17,336994,47679,Financial Services,1644,f,50131,4292273,163086,
235,capital senior living,2018-07-17,2343,464,Individual &amp; Family Services,813,f,6215,4506,1943,CSU
236,capstone turbine,2018-07-17,4366,184,Oil & Energy,156,f,156,505,24,
237,"carbon black, inc.",2018-07-17,24071,1144,Computer & Network Security,106,f,106,19478,1218,CBLK
238,cardtronics,2018-07-17,7764,1088,Financial Services,225,f,0,733,296,CATM
239,care.com,2018-07-17,27962,7800,Internet,500,f,0,807575,24889,ACM
240,careerbuilder,2018-07-17,75941,3283,Internet,2202,f,0,373451,7156,
241,carefusion,2018-07-17,59063,5988,Medical Devices,3059,f,3059,7928,456,
242,cargurus,2018-07-17,6861,654,Internet,0,f,0,1095288,62761,
243,carmax,2018-07-17,48719,9956,Retail,0,f,257751,323599,23754,
244,carmichael lynch,2018-02-17,14782,332,Marketing and Advertising,1931,f,1931,5552,1503,
245,carriage services,2018-07-17,4940,463,Individual &amp; Family Services,57,f,57,845,117,CSV
246,cars.com,2018-07-17,17163,1920,Internet,517,f,277,418713,13745,CARS
247,cartus,2018-07-17,17417,2859,Real Estate,414,f,0,3435,475,
248,cascade microtech,2018-07-17,2178,382,Semiconductors,123,f,123,189,12,
249,cashnetusa,2018-03-23,86,0,Financial Services,0,f,0,24731,381,
250,castlight health,2018-07-17,15146,742,"Health, Wellness and Fitness",380,f,378,4772,373,CSLT
251,caterpillar inc.,2018-07-17,559256,49601,Machinery,552,f,0,618036,18772,CAT
252,cathay bank,2018-07-17,9429,1010,Banking,0,f,0,1827,210,
253,cato fashion,2018-02-17,34,49,Retail,0,f,0,482599,133139,
254,"cbc settlement funding, llc",2018-07-17,85,17,Financial Services,0,f,0,548,443,
255,cbs ecomedia,2018-07-17,955,37,Marketing and Advertising,31,f,31,470,24,
256,cbs interactive,2018-07-17,38436,2692,Online Media,3144,f,3144,11247,1466,
257,cdk global,2018-07-17,41397,7896,Computer Software,39,f,39,8556,3067,CDK
258,cejka search,2018-07-17,1208,84,Hospital &amp; Health Care,27,f,27,451,81,
259,celanese,2018-07-17,32409,5186,Chemicals,366,f,366,3633,636,
260,celestica,2018-07-17,61937,9656,Electrical/Electronic Manufacturing,532,f,532,2752,2066,
261,cellectis,2018-07-17,7089,114,Biotechnology,0,f,0,760,69,CLLS
262,cementos pacasmayo saa,2018-07-17,22149,665,Building Materials,2278,f,1142,331210,67861,CPAC
263,centennial bank,2018-07-17,2747,834,Banking,214,f,214,479,252,
264,centerline drivers,2018-07-17,1848,315,Staffing and Recruiting,7,f,0,7703,912,
265,centerstate bank,2018-07-17,1976,1294,Financial Services,46,f,1766,4057,408,
266,century 21®,2018-02-17,64969,26095,Real Estate,2578,f,0,435688,18716,
267,centurylink,2018-07-17,94466,35032,Telecommunications,0,f,0,94964,10851,CTL
268,ceragon networks,2018-07-17,20749,1669,Telecommunications,71,f,71,5874,359,CRNT
269,charles river laboratories,2018-07-17,44544,7707,Biotechnology,509,f,0,16949,22793,
270,charles schwab,2018-07-17,117472,17152,Financial Services,0,f,0,228009,18643,
271,charlotte motor speedway,2017-11-07,2663,271,Sports,599495,f,599495,188368,28019,
272,charterbank,2018-07-17,376,179,Banking,0,f,0,24041,6597,
273,"check point software, ltd",2017-01-11,47035,4108,Computer & Network Security,319,f,319,43705,3745,CHKP
274,chemical bank,2018-07-17,8281,2537,Banking,115,f,115,10266,979,
275,chevron,2018-07-17,1551990,70698,Oil &amp; Energy,0,f,543947,1173124,34351,
276,christopher and banks,2018-07-17,5018,1307,Retail,120,f,0,227824,9564,
277,chuy's restaurants,2018-07-17,3128,1049,Restaurants,0,f,2207038,68490,15236,
278,cibc,2018-07-17,167269,32064,Banking,0,f,1677,407712,31444,
279,cigna,2018-07-17,154141,26341,"Health, Wellness and Fitness",0,f,0,624508,72515,
280,cincinnati bell,2018-07-17,9204,2049,Telecommunications,136,f,69,26983,15504,CBB^B
281,cinedigm,2018-07-17,7185,132,Motion Pictures and Film,0,f,0,175506,21052,CIDM
282,cinemark,2018-07-17,51020,5460,Entertainment,20783,f,24424506,1329616,372534,
283,cintas,2018-07-17,88741,19156,Facilities Services,2197,f,0,20697,3091,
284,cisco,2018-07-17,1850129,96413,Computer Networking,17326,f,16294,1188757,29450,
285,citi,2018-07-17,1582595,208461,Financial Services,0,f,0,1190262,713907,
286,citi trends,2018-07-17,7304,1704,Retail,430,f,36957,594148,24844,CTRN
287,citizens bank,2018-07-17,50088,15850,Banking,0,f,0,168079,39508,
288,citizens community federal,2018-07-17,286,128,Banking,0,f,0,8601,5492,
289,citizens first bank,2018-07-17,118,147,Banking,43,f,43,2875,2414,
290,citrix,2018-07-17,249176,11646,Computer Software,563,f,563,117332,9819,
291,citysearch.com,2018-03-09,1287,168,Internet,0,f,0,8530,40,
292,civista bank,2018-07-17,775,232,Banking,2,f,2,1138,1360,
293,class c solutions group,2018-02-17,4462,897,Logistics and Supply Chain,0,f,0,366,52,
294,clean energy fuels,2018-07-17,6855,462,Oil &amp; Energy,440,f,440,2091,113,CLNE
295,clearfield,2018-07-17,1286,149,Telecommunications,48,f,48,413,144,CLFD
296,clearone,2018-07-17,7013,229,Telecommunications,10,f,10,7206,2780,
297,clm bbdo,2018-07-17,4908,145,Marketing and Advertising,577,f,577,9714,494,
298,cloudera,2018-07-17,96063,1927,Computer Software,764,f,764,22926,797,
299,cme group,2018-07-17,53247,2671,Financial Services,3332,f,3332,40696,3109,CME
300,cnb bank,2018-07-17,720,358,Banking,48,f,48,534,212,
301,cnh industrial,2018-07-17,185262,26902,Machinery,52,f,52,22485,22884,CNHI
302,coalesse,2018-07-17,6934,140,Furniture,0,f,0,33092,1207,
303,coastway community bank,2018-07-17,286,123,Banking,40,f,29,747,330,
304,cobiz financial inc.,2017-11-29,2026,598,Financial Services,162,f,162,885,285,CLBK
305,cobiz insurance,2018-07-17,705,78,Insurance,617,f,0,12024,2164,
306,"coeur mining, inc.",2018-07-17,18702,709,Mining &amp; Metals,0,f,0,1157,360,CDE
307,cognizant,2018-07-17,1430578,243556,Information Technology and Services,94,f,0,345673,24419,
308,coherent inc.,2018-07-17,11670,1828,Electrical/Electronic Manufacturing,352,f,352,1465,125,COHR
309,coldwell banker,2018-07-17,78309,28377,Real Estate,872,f,0,234527,14395,
310,colorado state bank and trust,2018-07-17,977,225,Banking,4,f,0,1341,159,
311,columbia bank,2018-07-17,5392,1652,Banking,342,f,342,30705,3269,
312,columbia sportswear company,2018-07-17,77575,4043,Sports,0,f,723,1715060,34029,COLM
313,comfort systems usa,2018-07-17,8328,1135,Construction,0,f,0,481,191,FIX
314,commerce bank,2018-07-17,19115,4094,Banking,0,f,55,31330,6487,
315,commscope,2018-07-17,59466,6198,Telecommunications,208,f,208,16879,6948,
316,community west bank,2018-07-17,333,132,Banking,0,f,0,259,118,CWBC
317,commvault,2018-07-17,56917,2666,Computer Software,3,f,3,7870,679,
318,companhia siderúrgica nacional,2018-07-17,112729,6492,Mining & Metals,0,f,0,47947,21182,
319,compugraphics photomasks,2018-07-17,360,73,Semiconductors,8,f,8,1012,7,
320,"comscore, inc.",2018-07-17,40934,1619,Internet,770,f,770,31368,320,SCOR
321,con edison,2018-07-17,22716,8069,Utilities,3834,f,0,25381,33478,
322,conagra brands,2018-07-17,118975,9349,Food Production,0,f,0,163088,1166,CAG
323,conagra foods,2016-11-10,103281,10115,Food Production,0,f,0,163790,8633,
324,concentrix,2018-07-17,150304,31228,Outsourcing/Offshoring,137,f,137,513,255,
325,concur,2018-01-04,76415,6331,Computer Software,510,f,0,30780,3238,
326,connection,2018-07-17,24824,3245,Information Technology and Services,360,f,360,1808,107,
327,connectone bank,2018-07-17,2223,303,Banking,110,f,192,938,359,
328,conocophillips,2018-07-17,625030,21093,Oil &amp; Energy,4408,f,0,57397,4764,COP
329,constant contact,2018-07-17,19499,1185,Computer Software,447,f,1118,174400,2107,
330,constellium,2018-07-17,13219,2364,Mining &amp; Metals,776,f,776,1970,1115,CSTM
331,contrapuntobbdo,2018-07-17,5379,131,Marketing and Advertising,202,f,0,7257,540,
